Name,X (Semi-Major axis),X error,Y (Orbital period),Y lower error bound,Y upper error bound
HD 2039 b,2.19755,0.0577102,1120,23,23
Kepler-36 c,0.128401,0.00214002,16.23855,0.00038,0.00054
XO-2 b,0.0368367,0.000613945,2.615838,8E-06,8E-06
Kepler-11 d,0.154183,0.00540994,22.68719,0.00021,0.00021
HD 118203 b,0.0702997,0.00117167,6.1335,0.0006,0.0006
WASP-63 b,0.0574592,0.000957654,4.37808,6E-06,6E-06
Kepler-30 b,0.185524,0.00499738,29.334,0.008,0.008
HD 175167 b,2.40085,0.048438,1290,22,22
HAT-P-16 b,0.0413275,0.000688792,2.77596,3E-06,3E-06
TrES-4 b,0.0509243,0.000848739,3.553945,7.5E-05,7.5E-05
NGC 4349 127 b,1.68103,0.15168,677.8,6.2,6.2
GJ 676 A b,1.81539,0.0605981,1056.8,2.8,2.8
Kepler-60 b,0.0750769,0.00125128,7.1316185,9.3E-05,9.3E-05
HD 47186 c,2.38704,0.0780331,1353.6,57.1,57.1
HIP 14810 d,1.88623,0.0356086,950.69651,12.6436,12.6436
HD 142245 b,2.77628,0.0948437,1299,48,48
Kepler-59 c,0.136086,0.0022681,17.9801235,0.0003,0.0003
HD 30177 b,3.80821,0.133773,2770,100,100
Kepler-4 b,0.0455763,0.000894387,3.21346,0.00022,0.00022
HD 190647 b,2.07238,0.0631651,1038.1,5.1,5.1
HD 97658 b,0.0796373,0.00132732,9.4909,0.0016,0.0015
Kepler-57 b,0.0588891,0.000981484,5.7293196,1.8E-05,1.8E-05
HD 106270 b,4.37827,0.400595,2890,390,390
HD 30856 b,2.04004,0.0704508,912,41,41
HD 48265 b,1.59435,0.0746346,762,50,50
HD 89307 b,3.26609,0.0665009,2166,38,38
HD 163607 c,2.41789,0.0414759,1314,8,8
WASP-49 b,0.0378972,0.00105046,2.7817387,5.6E-06,5.6E-06
Kepler-37 c,0.139784,0.00394575,21.301886,4.6E-05,4.4E-05
Kepler-55 b,0.153688,0.00256146,27.9481449,0.00024,0.00024
HD 4313 b,1.13327,0.0228958,356,2.6,2.6
HD 2638 b,0.0435743,0.000726241,3.4442,0.0002,0.0002
HD 168443 b,0.29385,0.0048975,58.11247,0.0003,0.0003
HD 10180 f,0.49279,0.0082306,122.72,0.2,0.2
HD 45350 b,1.94413,0.0383935,963.6,3.4,3.4
HD 69830 c,0.185072,0.00308849,31.559999,0.04,0.04
Kepler-21 b,0.0427173,0.000711954,2.785755,3.1E-05,3.4E-05
HD 47186 b,0.0498411,0.000830686,4.0845,0.0002,0.0002
KELT-3 b,0.0412729,0.000687882,2.70339,1E-05,1E-05
Kepler-51 c,0.379271,0.00632118,85.3128662,0.00096,0.00096
HD 148427 b,1.03886,0.0184139,331.5,3,3
epsilon Tau b,1.93647,0.0342627,594.90002,5.3,5.3
Kepler-11 e,0.1939,0.0068035,31.9959,2.8E-05,2.8E-05
HD 208487 b,0.520765,0.00878551,130.08,0.51,0.51
epsilon Eri b,3.37558,0.322438,2500,350,350
Kepler-69 c,0.709354,0.0249588,242.4613,0.0059,0.0064
HD 20782 b,1.36607,0.0231719,591.9,2.8,2.8
HD 190360 c,0.129216,0.00215374,17.111027,0.00483338,0.00483338
Kepler-23 c,0.0986522,0.00311066,10.7421,0.00025,0.00025
HD 65216 b,1.37427,0.0285452,613.09998,11.4,11.4
Kepler-42 b,0.0112809,0.00144627,1.2137672,4.6E-06,4.6E-06
HAT-P-13 b,0.0426946,0.000874889,2.91625,1E-05,1E-05
GJ 3634 b,0.0286881,0.00106253,2.64561,0.00066,0.00066
Kepler-9 b,0.140548,0.00468494,19.243158,9.8E-05,9.8E-05
HD 130322 b,0.0896052,0.00149342,10.7085,0.0003,0.0003
omega Ser b,1.07698,0.0413803,277.02,0.52,0.51
HD 16175 b,2.1185,0.0666334,990,20,20
HD 46375 b,0.0399038,0.000665063,3.023573,6.5E-05,6.5E-05
Kepler-48 c,0.0854683,0.00142447,9.6739283,2E-05,2E-05
Kepler-60 d,0.105629,0.00176049,11.9016171,0.0002,0.0002
Kepler-14 b,0.0806879,0.0013448,6.790123,4.3E-06,4.3E-06
CoRoT-13 b,0.051069,0.00085115,4.03519,3E-05,3E-05
HD 98219 b,1.32398,0.0313152,436.9,4.5,4.5
HD 11964 b,3.1288,0.059001,1944.5898,25.7322,25.7322
HAT-P-34 b,0.0677467,0.00112911,5.452654,1.6E-05,1.6E-05
Kepler-31 b,0.158038,0.00740125,20.8613,0.0002,0.0002
HD 139357 b,2.34618,0.139594,1125.7,9,9
HD 1461 b,0.0635202,0.00105883,5.7727,0.0025,0.0025
HAT-P-30 b,0.0419042,0.000698404,2.810595,5E-06,5E-06
Kepler-37 b,0.102457,0.0028921,13.367308,5.8E-05,8.5E-05
HD 8535 b,2.4447,0.0535549,1313,28,28
HAT-P-28 b,0.0433674,0.00072279,3.257215,7E-06,7E-06
HD 4203 b,1.16537,0.0220541,431.88,0.85,0.85
HD 102956 b,0.0810025,0.00176791,6.4948,0.0004,0.0004
GJ 176 b,0.0656822,0.00109503,8.7832,0.0054,0.0054
HD 23079 b,1.59509,0.0278494,730.6,5.7,5.7
HD 178911 B b,0.344904,0.011497,71.484,0.02,0.02
WASP-58 b,0.0562022,0.00199298,5.01718,1.1E-05,1.1E-05
HD 162020 b,0.0756944,0.00126157,8.428198,5.6E-05,5.6E-05
HD 168746 b,0.0655505,0.00109255,6.404,0.0014,0.0014
GJ 876 c,0.129574,0.00215969,30.0881,0.0082,0.0082
Kepler-20 c,0.0930411,0.00155068,10.854092,1.3E-05,1.3E-05
Kepler-47 b,0.267621,0.00470631,49.514,0.04,0.04
HD 215497 b,0.0465952,0.000776604,3.93404,0.00066,0.00066
Kepler-62 f,0.717595,0.0119599,267.291,0.005,0.005
HD 154345 b,4.21377,0.104894,3341.5588,92.6798,92.6798
Kepler-60 c,0.0871504,0.00145251,8.9193459,0.00011,0.00011
HD 217107 b,0.0750282,0.00125047,7.1268163,3.91E-05,3.91E-05
mu Ara c,5.34057,0.401558,4205.8,458.9,458.9
HD 7199 b,1.36155,0.0249337,615,7,7
GJ 433 b,0.0580371,0.000967294,7.3709,0.0008,0.0008
HAT-P-31 b,0.0611921,0.00127274,5.005425,9.1E-05,9.2E-05
Kepler-41 b,0.0289537,0.000924056,1.855558,7.1E-06,7.1E-06
HD 40307 d,0.132422,0.00220745,20.46,0.01,0.01
HD 290327 b,3.43052,0.1612,2443,161,161
GJ 876 e,0.333345,0.010492,124.26,0.7,0.7
HD 169830 c,3.60184,0.307498,2102,264,264
47 UMa c,3.57197,0.110525,2391,93.5,93.5
HD 63765 b,0.94038,0.0157705,358,1,1
HD 85390 b,1.52377,0.0410323,788,25,25
WASP-77 A b,0.0240406,0.000400676,1.3600309,2E-06,2E-06
55 Cnc e,0.0154393,0.000257321,0.736546,3E-06,3E-06
HIP 57274 d,1.00678,0.0265141,431.7,8.5,8.5
HD 221287 b,1.25015,0.0353899,456.10001,6.5,6.5
KOI-13 b,0.0362917,0.000605125,1.7637,0.0013,0.0013
HD 192699 b,1.12292,0.0190744,345.53,1.7,1.7
HD 181342 b,1.777,0.060568,663,29,29
HD 131496 b,2.1121,0.0699438,883,29,29
PSR B1257+12 c,0.321369,0.00535614,66.5419,0.0001,0.0001
HD 44219 b,1.18713,0.0219341,472.3,5.65,5.65
75 Cet b,1.97678,0.0555905,691.9,3.6,3.6
Kepler-27 b,0.10464,0.00858582,15.3348,0.00033,0.00033
Kepler-40 b,0.0806644,0.00134442,6.87349,0.00064,0.00064
HD 220074 b,1.60044,0.133499,672.1,3.7,3.7
HAT-P-39 b,0.0509456,0.000849093,3.54387,5E-06,5E-06
WASP-26 b,0.0399686,0.000666144,2.7566,1E-05,1E-05
HIP 2247 b,1.33884,0.022329,655.6,0.6,0.6
GJ 876 d,0.0208066,0.000346776,1.93778,2E-05,2E-05
HD 38529 b,0.1272,0.00212001,14.310195,0.000805778,0.000805778
BD +20 2457 c,1.45701,0.0975269,621.99,10.2,10.2
HD 22781 b,1.16847,0.0194755,528.07,0.14,0.14
HD 120084 b,4.26892,1.35211,2082,24,34
HD 20868 b,0.947319,0.0157894,380.85,0.09,0.09
HAT-P-9 b,0.0528645,0.00178968,3.92289,4E-05,4E-05
Kepler-33 e,0.213825,0.00452714,31.7844,0.00039,0.00039
Kepler-19 b,0.0845828,0.00140971,9.2869944,8.8E-06,8.8E-06
HD 107148 b,0.270013,0.00554527,48.056,0.057,0.057
51 Peg b,0.0521068,0.000868447,4.230785,3.6E-05,3.6E-05
WASP-60 b,0.0531041,0.000885069,4.3050011,6.2E-06,6.2E-06
55 Cnc f,0.773567,0.0129169,261.2,0.4,0.4
HD 212301 b,0.034116,0.000649835,2.245715,0.00028,0.00028
HAT-P-15 b,0.0964692,0.00160782,10.863502,2.7E-05,2.7E-05
HD 209458 b,0.047235,0.000787249,3.52474859,3.8E-07,3.8E-07
HD 102272 b,0.512595,0.0310768,127.58,0.3,0.3
HD 181433 b,0.0800943,0.00133495,9.3743,0.0019,0.0019
HD 187123 b,0.042091,0.000701517,3.0965828,7.84E-06,7.84E-06
HD 108147 b,0.101407,0.00169034,10.8985,0.0045,0.0045
WASP-61 b,0.0514489,0.000983996,3.8559,3E-06,3E-06
Kepler-58 b,0.0905953,0.00150992,10.2184954,0.00015,0.00015
HD 215497 c,1.28243,0.0217568,567.94,2.7,2.7
CoRoT-17 b,0.0480499,0.00154006,3.7681,0.0003,0.0003
HD 20794 d,0.349781,0.00584901,90.309,0.184,0.184
xi Aql b,0.53813,0.0404055,136.75,0.25,0.25
HD 33564 b,1.1241,0.0196105,388,3,3
HD 40979 b,0.846038,0.0141092,264.15,0.23,0.23
GJ 581 c,0.0729238,0.00156828,12.9182,0.0022,0.0022
HD 10180 c,0.0641175,0.00106863,5.75962,0.00028,0.00028
WASP-31 b,0.0466223,0.000777038,3.405909,5E-06,5E-06
HD 134987 c,5.82513,0.331323,5000,400,400
HD 40307 b,0.0468927,0.000781557,4.3115,0.0006,0.0006
iota Dra b,1.31029,0.0613005,511.098,0.089,0.089
HD 108874 b,1.03527,0.0172862,394.48124,0.598627,0.598627
HD 4732 b,1.19218,0.0389484,360.2,1.4,1.4
HD 23596 b,2.77219,0.0483382,1561,12,12
HD 25171 b,3.03064,0.189726,1845,167,167
HD 83443 b,0.0404623,0.000674371,2.985698,5.7E-05,5.7E-05
WASP-36 b,0.0262601,0.000437668,1.5373653,2.7E-06,2.7E-06
HD 43691 b,0.241901,0.00403262,36.959999,0.02,0.02
30 Ari B b,0.99475,0.0173016,335.1,2.5,2.5
HAT-P-6 b,0.0523738,0.000879664,3.852985,5E-06,5E-06
Kepler-35 b,0.48628,0.00810778,131.458,0.077,0.105
BD -08 2823 c,0.679166,0.0216051,237.6,1.5,1.5
4 UMa b,0.876999,0.0357887,269.29999,1.96,1.96
Qatar-1 b,0.0234308,0.000390514,1.420033,1.6E-05,1.6E-05
HD 10697 b,2.13177,0.0355848,1075.2,1.5,1.5
Kepler-32 e,0.0323795,0.000539663,2.896,0.0003,0.0003
Kepler-11 f,0.249453,0.00875275,46.68876,0.00074,0.00074
BD +20 2457 b,1.04992,0.0694334,379.63,2.01,2.01
mu Ara d,0.0927843,0.00176619,9.6386,0.0015,0.0015
HD 3651 b,0.29472,0.00491223,62.218,0.015,0.015
HD 99706 b,2.13423,0.0783704,868,37,37
HD 169830 b,0.813279,0.013565,225.62,0.22,0.22
HD 175541 b,0.961227,0.0230905,297.3,6,6
HD 202206 c,2.49004,0.0548717,1383.4,18.4,18.4
HD 145457 b,0.762504,0.0401475,176.3,0.39,0.39
HD 206610 b,1.53703,0.0520917,610,13,13
HD 12661 c,2.91927,0.0636663,1707.8812,13.8648,13.8648
Kepler-12 b,0.0556348,0.000927246,4.4379637,2E-07,2E-07
HAT-P-36 b,0.0238229,0.000397048,1.327347,3E-06,3E-06
WASP-35 b,0.0431283,0.000718806,3.161575,2E-06,2E-06
HD 69830 d,0.627426,0.0122444,197,3,3
HD 28254 b,2.14768,0.048928,1116,26,26
HD 81688 b,0.811148,0.0135295,184.02,0.18,0.18
HD 210277 b,1.13105,0.0188702,442.19,0.5,0.5
WTS-1 b,0.0465809,0.00129391,3.352059,1.2E-05,1.4E-05
Kepler-51 b,0.248169,0.00413614,45.1555023,7.2E-05,7.2E-05
XO-1 b,0.049283,0.000943751,3.941534,2.7E-05,2.7E-05
Kepler-33 d,0.166175,0.0035183,21.77596,0.00011,0.00011
Kepler-20 d,0.345324,0.0057554,77.61184,0.00015,0.00037
55 Cnc b,0.113377,0.00188961,14.651,0.0001,0.0001
WASP-65 b,0.0333955,0.00167576,2.3114243,1.5E-06,1.5E-06
HD 207832 b,0.569755,0.020308,161.97,0.97,0.78
WASP-55 b,0.0532575,0.000887624,4.465633,4E-06,4E-06
HD 33283 b,0.145378,0.00390818,18.179001,0.007,0.007
HD 10180 e,0.269917,0.00449945,49.747,0.024,0.024
55 Cnc d,5.47467,0.0939312,4909,30,30
WASP-3 b,0.0314948,0.000524913,1.846834,2E-06,2E-06
HD 148156 b,2.12913,0.0525055,1027,28,28
TrES-5 b,0.0245157,0.000408595,1.4822446,7E-07,7E-07
HD 222155 b,5.13864,0.463631,3999,469,541
HD 73526 b,0.646509,0.0109703,188.3,0.9,0.9
HD 117207 b,3.73753,0.0736732,2597,41,41
HD 121504 b,0.328688,0.00547911,63.330002,0.03,0.03
HD 156846 b,1.11751,0.0186261,359.51001,0.09,0.09
Kepler-18 b,0.0447299,0.000745498,3.504725,2.8E-05,2.8E-05
HAT-P-23 b,0.0231971,0.000386619,1.212884,2E-06,2E-06
HD 224693 b,0.192441,0.00482403,26.73,0.02,0.02
HD 158038 b,1.49788,0.0386455,521,6.9,6.9
Kepler-26 c,0.113189,0.00188649,17.25204,0.00025,0.00025
GJ 179 b,2.41241,0.079286,2288,59,59
Kepler-22 b,0.848513,0.0174951,289.8623,0.0016,0.002
Kepler-68 c,0.0907019,0.0015117,9.605085,7.2E-05,7.2E-05
Kepler-42 d,0.0150222,0.00192592,1.865169,1.4E-05,1.4E-05
HD 143361 b,2.03474,0.11742,1086,90,90
HD 155358 b,0.626938,0.0168268,194.3,0.3,0.3
HD 192310 b,0.322307,0.00537948,74.72,0.1,0.1
WASP-64 b,0.0265195,0.000441992,1.5732918,1.5E-06,1.5E-06
upsilon And b,0.0593858,0.000989764,4.6171363,5.62E-05,5.62E-05
Kepler-56 c,0.167568,0.0027928,21.4050484,0.00036,0.00036
HD 86081 b,0.0346186,0.000576981,2.1375,0.0002,0.0002
